Mes,Nome_Mes,Ano,N,Media,DP,EP,IC_inf,IC_sup,Margem
8,Agosto,2018,1857,18.355411954765753,24.891309288111586,0.5776194242641549,17.222559920929957,19.48826398860155,1.132852033835795
8,Agosto,2019,2066,19.15101645692159,27.74898626392968,0.6104947918999468,17.953766911594126,20.34826600224905,1.1972495453274632
8,Agosto,2020,2083,17.605856937109937,25.796098869413957,0.5652094284195499,16.49742243489781,18.714291439322064,1.1084345022121274
8,Agosto,2021,1961,17.500254971953087,22.403104853520045,0.5059055160468765,16.50808569012154,18.492424253784634,0.992169281831546
8,Agosto,2022,2127,18.276915843911613,23.44999179182497,0.5084625253158006,17.2797799274309,19.274051760392325,0.9971359164807118
8,Agosto,2023,2174,20.867985280588776,32.249609720027976,0.6916632378129655,19.511594740409727,22.224375820767825,1.356390540179051
8,Agosto,2024,2646,19.976190476190474,26.974282367891824,0.5243906982467315,18.947933061950444,21.004447890430505,1.028257414240029
9,Setembro,2012,1236,19.741909385113267,45.87217470560712,1.304788421707566,17.182062329245664,22.30175644098087,2.559847055867602
9,Setembro,2013,1583,19.06822488945041,31.61396648932764,0.7945816498156971,17.509681069976317,20.6267687089245,1.5585438194740937
9,Setembro,2014,1913,18.573967590172504,34.339598800926204,0.7851230574046748,17.034179943897453,20.113755236447556,1.5397876462750508
9,Setembro,2015,1697,17.604596346493814,25.561820228407917,0.6205129578122219,16.387544748743377,18.82164794424425,1.2170515977504377
9,Setembro,2016,1292,18.21362229102167,22.824780319396734,0.6350023747723326,16.967872584497872,19.45937199754547,1.2457497065238001
9,Setembro,2017,1673,17.25463239689181,28.722100323773784,0.7022119637017624,15.877325215028362,18.63193957875526,1.377307181863449
9,Setembro,2018,1611,20.386716325263812,40.65575888194296,1.0129180303608458,18.399939868295988,22.373492782231637,1.986776456967826
9,Setembro,2019,1895,19.454881266490766,65.56406176009592,1.5061257843734184,16.501041335963862,22.40872119701767,2.9538399305269025
9,Setembro,2020,1957,17.770567194685743,26.36936765349137,0.5960796598454351,16.601549153619843,18.939585235751643,1.169018041065899
9,Setembro,2021,1669,18.011983223487118,33.446329105849465,0.8186915171624125,16.40621214089785,19.617754306076385,1.6057710825892668
9,Setembro,2022,1740,19.839080459770116,30.485405425380506,0.730831656618669,18.405679081526547,21.272481838013686,1.433401378243569
9,Setembro,2023,2007,19.064275037369207,27.32021544104027,0.6098323144858416,17.868304056146073,20.26024601859234,1.1959709812231325
9,Setembro,2024,2506,20.49241819632881,37.12300509607978,0.7415707503124033,19.038263621823898,21.946572770833722,1.454154574504911
10,Outubro,2012,1557,20.21258831085421,35.927954126349604,0.9105172567429142,18.42661804737781,21.998558574330605,1.7859702634763963
10,Outubro,2013,1987,20.165072974333164,53.55397394131041,1.2014142238820158,17.808908419076296,22.52123752959003,2.356164555256866
10,Outubro,2014,2039,20.126532614026484,42.14676769081938,0.9333739172689095,18.296066252301813,21.956998975751155,1.8304663617246706
10,Outubro,2015,1974,19.1225937183384,27.742099621223673,0.6244041096070505,17.89803293550901,20.34715450116779,1.2245607828293898
10,Outubro,2016,1652,20.14951573849879,35.28078999553467,0.868027090991711,18.446965761749478,21.8520657152481,1.7025499767493113
10,Outubro,2017,1845,20.386449864498644,31.572811737681974,0.7350469413408811,18.944838098057716,21.828061630939573,1.4416117664409267
10,Outubro,2018,2076,19.36801541425819,36.26765850729394,0.795986758587523,17.8069994908255,20.929031337690876,1.5610159234326877
10,Outubro,2019,2555,19.001956947162427,28.94523350678721,0.5726399000182666,17.87907122518933,20.124842669135525,1.122885721973097
10,Outubro,2020,2098,18.020019065776932,24.74679749514532,0.5402767298671173,16.960484588271942,19.07955354328192,1.0595344775049893
10,Outubro,2021,1707,17.977152899824254,22.617416814364216,0.5474270345403902,16.903453874398505,19.050851925250004,1.0736990254257488
10,Outubro,2022,1975,20.54632911392405,31.223963912909724,0.7025940803473104,19.168425163154534,21.924233064693563,1.377903950769516
