dt (s),tempo_final (s),v_final_num (m/s),v_final_analitico (m/s),erro_relativo
0.2430,2.4300,-252.6246,627.9587,1.4023
0.2440,2.4400,-256.1117,640.7434,1.3997
0.2450,2.4500,-259.6413,653.7864,1.3971
0.2460,2.4600,-263.2138,667.0928,1.3946
0.2470,2.4700,-266.8296,680.6681,1.3920
0.2480,2.4800,-270.4893,694.5176,1.3895
0.2490,2.4900,-274.1933,708.6468,1.3869
0.2500,2.5000,-277.9420,723.0615,1.3844
0.2510,2.5100,-281.7360,737.7674,1.3819
0.2520,2.5200,-285.5758,752.7704,1.3794
0.2530,2.5300,-289.4617,768.0765,1.3769
0.2540,2.5400,-293.3944,783.6917,1.3744
0.2550,2.5500,-297.3744,799.6225,1.3719
0.2560,2.5600,-301.4020,815.8750,1.3694
0.2570,2.5700,-305.4779,832.4558,1.3670
0.2580,2.5800,-309.6025,849.3717,1.3645
0.2590,2.5900,-313.7764,866.6292,1.3621
0.2600,2.6000,-318.0001,884.2353,1.3596
0.2610,2.6100,-322.2741,902.1972,1.3572
0.2620,2.6200,-326.5989,920.5219,1.3548
0.2630,2.6300,-330.9752,939.2167,1.3524
0.2640,2.6400,-335.4033,958.2892,1.3500
0.2650,2.6500,-339.8839,977.7471,1.3476
0.2660,2.6600,-344.4176,997.5979,1.3452
0.2670,2.4030,-225.8054,594.6904,1.3797
0.2680,2.4120,-228.5268,605.5808,1.3774
0.2690,2.4210,-231.2766,616.6691,1.3750
0.2700,2.4300,-234.0552,627.9587,1.3727
0.2710,2.4390,-236.8628,639.4534,1.3704
0.2720,2.4480,-239.6996,651.1569,1.3681
0.2730,2.4570,-242.5661,663.0729,1.3658
0.2740,2.4660,-245.4623,675.2054,1.3635
0.2750,2.4750,-248.3886,687.5582,1.3613
0.2760,2.4840,-251.3453,700.1354,1.3590
0.2770,2.4930,-254.3327,712.9410,1.3567
0.2780,2.5020,-257.3509,725.9792,1.3545
0.2790,2.5110,-260.4004,739.2543,1.3522
0.2800,2.5200,-263.4813,752.7704,1.3500
0.2810,2.5290,-266.5940,766.5321,1.3478
0.2820,2.5380,-269.7388,780.5437,1.3456
0.2830,2.5470,-272.9158,794.8097,1.3434
0.2840,2.5560,-276.1256,809.3349,1.3412
0.2850,2.5650,-279.3682,824.1240,1.3390
0.2860,2.5740,-282.6440,839.1816,1.3368
0.2870,2.5830,-285.9534,854.5127,1.3346
0.2880,2.5920,-289.2965,870.1223,1.3325
0.2890,2.6010,-292.6738,886.0154,1.3303
0.2900,2.6100,-296.0855,902.1972,1.3282
