Limite_Inferior,Limite_Superior,Contém_Média
14.469051734044754,22.750948265955245,Sim
12.528122509833683,22.131877490166314,Sim
14.237449620095386,25.52255037990461,Sim
11.497419073487581,18.34258092651242,Não
12.752059888834477,19.747940111165523,Sim
13.082906344045616,26.877093655954383,Sim
16.85997173802408,27.26002826197592,Sim
11.845594235851438,19.534405764148563,Sim
16.158640894785602,25.201359105214397,Sim
14.060727445828359,25.459272554171644,Sim
11.468068207454298,22.211931792545702,Sim
14.063840526116516,21.876159473883483,Sim
12.623518559390067,19.156481440609934,Sim
6.999369871787458,41.28063012821254,Sim
10.001368167174224,15.478631832825776,Não
11.66750007436584,20.05249992563416,Sim
12.121914346470025,23.418085653529975,Sim
13.594559053377719,23.48544094662228,Sim
14.622749337805637,23.95725066219436,Sim
9.572274820520757,43.467725179479245,Sim
13.831306391221261,23.94869360877874,Sim
12.9100593175244,18.5499406824756,Não
11.79447449972498,18.74552550027502,Não
13.81471387925517,21.40528612074483,Sim
13.369042444251521,20.35095755574848,Sim
13.650485973194463,19.929514026805535,Sim
14.81220724140709,27.407792758592908,Sim
17.253542383826897,26.926457616173103,Sim
15.993031631163987,26.08696836883601,Sim
14.653747278218953,23.106252721781047,Sim
